,name,roaster,descriptor,price,weight,weight in g,weight in oz,location,roasternotes,blend_single,roastlevel,classification,flavornotes,extra
16,Costa Rica Perla Negra Natural,Dune,Fuego alert! This natural process banger is big on flavor: blackberry juiciness and spicy rum notes are very much in play here. Try to have a bad day after a cup of this coffee - we dare you.,23.0,12.0,340.1942774959533,12.0,"Santa Barbara, CA","Oscar and Francisca Chacon of Las Lajas Micromill are third-generation coffee producers who are committed to quality and innovation. Las Lajas is one of very few certified organic mills in the area as the Chacons take their environmental impact very seriously. To conserve water, the Chacons use a penagos demucilaginator to depulp their coffee, and since all of their coffees are either honeys or naturals, very little water is used at the mill.",Single Origins,Light-Medium Roast,Funky & Fruity,none,"['Process', 'Natural/Dry Processed', 'Sub Region', 'Sabanilla de Alajuela, Central Valley', 'Producer', 'Oscar and Francisca Chacon', 'Varietal', 'Various', 'Elevation', '1450']"
17,Gotham,Irving Farm,"Extra dark, rich, and full of chocolatey indulgence. It may not be the coffee we deserve, but it's definitely the coffee we need right now.",15.0,12.0,340.1942774959533,12.0,"New York, NY",This blend is a modern take on a classic french roast. The coffee carries a deep smoky edge balanced with sweetness from perfectly timing the caramelization of the coffee bean’s sugars in the roasting process.,Blends,Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Washed', 'Sub Region', 'Ahuachapán', 'Producer', 'The Salaverria family', 'Varietal', 'Bourbon, Catuai', 'Elevation', '1350']"
18,Black Cat Classic Espresso,Intelligentsia,This classic espresso has been part of Intelligentsia's lineup since the very begining. Intensive lot selection means supreme balance & syrupy sweetness.,15.0,12.0,340.1942774959533,12.0,"Chicago, IL","This syrupy and sweet espresso blend has been the staple of our lineup since the very beginning. It is a product of intensive lot selection and close, direct work with the farmers who produce its components. Supreme balance and a wonderful sweetness make this a classic.",Blends,Medium Roast,Syrupy & Smooth,none,"['Process', 'Washed']"
19,French Roast,Klatch,Bitter or sweet? No need to decide—this one’s both: the bitter of French roasting and the sweetness of coffee that can handle that kind of heat.,14.5,12.0,340.1942774959533,12.0,"Rancho Cucamonga, CA","French Roast is our darkest roast! Features a blend of selective Central and South America, strictly hard bean coffees specially selected to handle the dark roast without losing their flavor. We find a surprising amount of sweetness, balanced with the pleasant bitterness that French Roasts are known for. Creamy and even, deep and breathy, this coffee is complex yet comforting. Brews a rich full cup.",Blends,Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Washed', 'Varietal', 'Various']"
20,Brasil,DOMA,"Here’s a coffee that’s whatever you want it to be. Make it as espresso, brew it as drip, add milk (or not) to its mild acidity and sweetness. Just make it.",15.0,12.0,340.1942774959533,12.0,"Post Falls, ID","You'll find candied lemon and vanilla aromas, cashew and cherry flavors, molasses and rye aftertastes, a mild acidity and a balanced sweetness. We’ve brewed this coffee as an espresso, drip and with several other manual brewing devices only to find that our taste buds were happy from start to finish each time; we’re sure that your taste buds will thank you as well.",Single Origins,Medium Roast,Funky & Fruity,none,"['Process', 'Pulped Natural', 'Sub Region', 'Carmo de Minas', 'Varietal', 'Yellow bourbon']"
21,Le Corbusier French Roast,Metric,"A robust body and bold sweetness are the steel beams of this cup architected just for fans of bold, dark roast coffees.",14.0,12.0,340.1942774959533,12.0,"Chicago, IL","Swiss-born French architect Charles Edouard Jeanneret-Gris was an inspiration for this blend. Our French Roast incorporates seasonal Latin American coffees to create a robust body and big, caramelized sweetness for fans of bolder or darker roast coffees. This more developed profile aims not to overwhelm the palate with extremely smoky roast flavors, but to please folks who seek a rich, deep and aromatic cup.",Blends,Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Natural/Dry Processed']"
22,Flying Monkey Espresso,PT's,"Instant mood booster. This coffee is balanced, yet fun. Think a blend of sweet flavors with just enough depth. Add milk, because, why not?",16.0,12.0,340.1942774959533,12.0,"Topeka, KS","Extremely balanced, yet playful. Featuring notes of smooth chocolate, honey and graham cracker, this blend creates a beautiful harmony of flavors while still having enough depth to show off in long milk drinks.",Blends,Medium Roast,Syrupy & Smooth,none,"['Process', 'Washed, Natural/Dry Processed, Pulped Natural', 'Varietal', 'Various']"
23,Virgil's,DOMA,Bold and dark to help you shine your brightest. Notes of caramel and chocolate and aromas of fruit and cedar bring this smooth cup to life.,14.65,12.0,340.1942774959533,12.0,"Post Falls, ID","Aromas of cedar and fruit, flavors of dark chocolate, caramel aftertastes, a muted acidity, a bold body and a light sweetness.",Blends,Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Washed', 'Varietal', 'Bourbon']"
24,Ethiopia Sidama Ardi,Equator,"Smooth, fruity and sweet, with notes of vanilla, lavender and meyer lemon. This naturally processed coffee may change your whole perception of what coffee can be.",18.5,12.0,340.1942774959533,12.0,"San Rafael, CA","Grown in Southern Ethiopia’s Guji Zone, an area where coffee farming is the main source of income for the people who live in the area. Equator has been buying this clean and fruity coffee every year since 2013. The inspiration behind this coffee’s name comes from the discovery of Ardipithecus Ramidus, the oldest hominid ever found. The fossil is 4.4 million years old and was unearthed in Ethiopia’s Great Rift Valley, which is where this coffee is grown.",Single Origins,Light Roast,Fruity & Crisp,"Packed with bold notes of Berry Fruit, Citrus and Florals","['Process', 'Natural/Dry Processed', 'Sub Region', 'Guji, Borena Hagermariam District', 'Producer', 'Nardos Coffee', 'Varietal', 'Heirloom', 'Elevation', '1750 - 1800']"
25,Eclipse,Onyx,"Dark and sultry, subtly smoky, this coffee absolutely smolders with rich, chocolaty depth and vanilla sweetness. Perfect sipped solo, but works beautifully with your milk of choice.",16.0,12.0,340.1942774959533,12.0,"Fayetteville, AR","Eclipse is a blend we make for our customers that like Onyx but don't always want a bright, fruity coffee. Fortunately, we put as much care into our dark roasted blends as we do our other coffees. This is made up of Guatemalan and Ethiopian coffees and roasted darker than any of our other coffees. Great with milk, you will taste a deep, rich dark chocolate, caramelized sugar, and a pleasant smokey vanilla finish.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Milk Chocolate and Brown Sugar,"['Process', 'Washed', 'Varietal', 'Caturra and Heirloom']"
26,El Socorro Maracaturra,PT's,"Toasty, chocolaty, and easy to love - here's a great coffee to impress your in-laws. Super approachable, with notes of milk chocolate and soft pear acidity.",22.5,12.0,340.1942774959533,12.0,"Topeka, KS","This lively coffee greets you with aromas of navel orange and raspberry jam as it brews, with a sweet background note of milk chocolate. It's a juicy cup, with notes of red grape and mandarin marmalade balanced by cranberry-like acidity. An almost nutty undertone of cocoa powder emerges in the long finish.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Guatemala with hints of Milk Chocolate and Citrus,"['Process', 'Washed', 'Sub Region', 'Guatemala Department', 'Producer', 'Juan Diego de la Cerda', 'Varietal', 'Maracaturra', 'Elevation', '1750 - 1750']"
27,Tarrazu,George Howell,"Enjoy this classic cup of coffee from a master among roasters. Smooth, chocolatey, classic.",14.0,12.0,340.1942774959533,12.0,"Boston, MA","Tarrazu is a land of small farmers in a tumultuous landscape of lush green peaks, some rising over 10,000 feet, and valleys. The climate has well defined seasons: the long dry season, from December to April, coincides perfectly with the coffee harvest, leading to very even, full ripening - ideal for preparing quality coffee.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Costa Rica with hints of Milk Chocolate and Nut,"['Process', 'Washed', 'Sub Region', 'Tarrazu', 'Harvest Time', 'January 2018', 'Varietal', 'Caturra, Catuai', 'Elevation', '1190 - 1890']"
28,Buffalo Blend,Airship,"We don’t save this one for the fancy china cups—we break it out and enjoy it, day after day, for its approachably sweet and toasted drinkability.",12.0,8.0,226.79618499730222,8.0,"Bentonville, AR","This is the everyday drinkin' coffee. We named it after one of our favorite places on Earth, the Buffalo River. This blend is sweet, mild and roasted to be enjoyed everyday. Enjoy the ride.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Brown Sugar and Sweet Vanilla,"['Process', 'Washed, Natural/Dry Processed', 'Sub Region', 'Acatenango', 'Varietal', 'Bourbon']"
29,Theo Blend,Caffe Vita,Chocolate lovers know Theo Chocolate—and will love this smooth and frothy blend paired with their favorite bite.,17.0,12.0,340.1942774959533,12.0,"Seattle, WA",Caffe Vita and famed chocolatier Theo Chocolate spent months working together to develop this lush blend—which pairs beautifully with chocolate but also has the charm of a superb daily cup.,Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Milk Chocolate and Spice,"['Process', 'Washed', 'Varietal', 'Bourbon, Typica', 'Elevation', '1500']"
30,Ethiopia Bokasso,Boxcar,"Delicate but lingering, this washed Ethiopian beauty delivers citrusy floral sweetness that lasts well past the last sip.",16.0,300.0,300.0,10.582188585,"Boulder, CO",The Bokasso washing station is located in the Sidama region of south-central Ethiopia. Many small family farms contribute to this station all growing a mix of heirloom varietals at elevations of up to 2100 meters. After the ripe cherries are pulped they are fermented for 48 hours then fully washed and laid out to dry on traditional raised beds. The resulting coffee is very sweet and loaded with tons of complex florals.,Single Origins,Light-Medium Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Sidama', 'Harvest Time', 'Dec-March 2017-2018', 'Varietal', 'Heirloom', 'Elevation', '1900 - 2000']"
31,Oktoberfest,Madcap,"Crisp as the falling leaves, clean as the autumn air. We're waxing poetic over this seasonal beauty, with its citrusy acidity and its warming spice notes.",18.0,12.0,340.1942774959533,12.0,"Grand Rapids, MI","Paying tribute to the famous Oktoberfestbier, this coffee is crisp, clean, and balanced. Citrus and spice emerge from a chocolate malt structure.",Blends,Light-Medium Roast,Balanced & Fruity,"Hints of Citrus, Milk Chocolate and Spice","['Process', 'Washed', 'Elevation', '1750']"
32,Darkness,Gimme!,Dark? Maybe. Moody too. But its toasted heaviness mellows out a bit with a silkiness that keeps it from going too...dark.,14.0,12.0,340.1942774959533,12.0,"Ithaca, NY","As darkness falls across the land, grab a cup of coffee that matches your mood. With toasted sugars and brownie sweetness, our darkest blend is roasted through second crack, resulting in a silky, heavy mouthfeel that balances the bitter cocoa finish.",Blends,Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Washed', 'Varietal', 'Bourbon']"
33,Kenya Gaturiri,Parlor,This single-origin is all business. Fruity flavors are processed from a factory of top-notch coffee farmers. Meeting adjourned.,17.0,8.0,226.79618499730222,8.0,"Brooklyn, NY","Plum, citrus and caramelized sugar drive the unique flavor we love from Gaturiri. Coffee has been cultivated in the Nyeri district since 1958. Today, as many as 1,200 farmers, equally comprised of women and men, contribute their ripe coffee cherry to Gaturiri Factory for processing.",Single Origins,Light-Medium Roast,Subtle & Delicate,"Complex with notes of Ripe Fruit, Citrus and Brown Sugar","['Process', 'Washed', 'Sub Region', 'Central Kenya, Nyeri', 'Producer', 'Barichu Cooperative Society', 'Harvest Time', 'November - February', 'Varietal', 'SL-28, SL-24', 'Elevation', '1750 - 1750']"
34,Bauhaus,Highwire,"Highwire's darkest offering offers a sweet, mellow full bodied cup, without the smokiness, that only the most skillful roasting can achieve.",16.75,12.0,340.1942774959533,12.0,"Oakland, CA","This remains a favorite among fans of sweet, mellow full bodied cups that only a skillful roast can provide. Bauhaus is taken deep enough to bring you the bittersweet chocolate cookie flavors of a full roast without the smokiness. Although it's not pushed over the edge, you will definitely recognize this as our darkest one.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Brown Sugar and Milk Chocolate,"['Process', 'Washed', 'Varietal', 'Arabica']"
35,"Party, Ethiopia",Madcap,"Looking for excitement in your morning? Aptly named, this naturally processed coffee brings the funk. Punchy blackberry, splashy-sweet citrus acidity, and a subtle earthiness make it nearly impossible to have a bad day.",19.0,12.0,340.1942774959533,12.0,"Grand Rapids, MI","This coffee is not shy. Expect a big punch of blackberries, flowers, and orange anchored down by maple syrup sweetness.",Single Origins,Light-Medium Roast,Fruity & Crisp,"Packed with bold notes of Berry Fruit, Florals and Citrus","['Process', 'Natural/Dry Processed', 'Sub Region', 'Kore, Kochere', 'Producer', 'Boji Washing Station', 'Harvest Time', 'December 2017 - January 2018', 'Varietal', 'Heirloom', 'Elevation', '1800 - 1900']"
36,Zip Zinger,Dune,"Like its name suggests, this versatile blend likes to mix it up. As espresso or as brewed coffee, its well-balanced flavors work well solo or with milk.",16.0,12.0,340.1942774959533,12.0,"Santa Barbara, CA","Zip Zinger is our flagship blend. We built this coffee to be enjoyed as espresso and brewed coffee, a versatile and exciting blend of coffees from Colombia, Ethiopia and Brazil. These three origins bring really beautiful flavors of stone fruit, caramel and chocolate that are super tasty on their own, and shine in milk. We named this coffee for the iconic skateboard designed by Mark Gonzales; he inspires us to be creative and have fun every single day.",Blends,Medium Roast,Syrupy & Smooth,none,"['Process', 'Washed, Natural/Dry Processed', 'Varietal', 'Various']"
37,Ethiopia Ardi,Huckleberry,"Thick and sticky-sweet, like strawberry jam: this is a whole bunch of in-your-face berry deliciousness, with smooth chocolaty notes to mellow out the cup.",21.0,12.0,340.1942774959533,12.0,"Denver, CO","Ardi is our favorite natural Ethiopia, year after year. Our lot for 2018 is one of our best yet, with the berry, tropical and chocolate flavors we've come to love, plus lovely florals. It's a fruit bomb, and it's the bomb.",Single Origins,Light-Medium Roast,Funky & Fruity,none,"['Process', 'Natural/Dry Processed', 'Sub Region', 'Kilenso Mokonisa, Sidama', 'Producer', 'Various Smallholders, Israel Degefa Wet Mill', 'Varietal', 'Ethiopian Heirloom', 'Elevation', '1800 - 2100']"
38,Costa Rica,Cuvee,"For those who like a reliably easy-drinking morning cup with a little tropical twist, may we suggest this Costa Rican marvel? Brown sugary sweet with splashy citric acidity help start a day full of positive vibes.",14.0,12.0,340.1942774959533,12.0,"Austin, TX","Being sandwiched between the Caribbean and the Pacific, it’s no wonder the translation of Costa Rica means “Rich Coast”. Costa Rican coffees often share a full body, bright acidity, fragrant brown sugar aroma and can have notes of tropical fruit or citrus.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Costa Rica with hints of Tropical Fruit and Sweet Vanilla,"['Process', 'Washed', 'Sub Region', 'West Valley', 'Varietal', 'Caturra', 'Elevation', '1400 - 1600']"
39,Monarch Blend,Onyx,"This fully developed roast plays well with milk—rich, frothy milk, to be specific. Dense with sugar, it toasts up with milk and somehow tastes even better.",15.5,12.0,340.1942774959533,12.0,"Fayetteville, AR","Monarch, formerly named Red Queen, is our most developed roast. It is a flavor profile that we designed to work well with fats. This coffee works extremely well with cream or as an espresso that has a high volume of milk. A very sweet sugar dense coffee that binds to the fats and creates multiple complex sugar browning notes from Swiss chocolate to cacao depending on the amount of milk added. Enjoy as drip or espresso.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Milk Chocolate and Brown Sugar,"['Process', 'Washed', 'Varietal', 'Caturra, Ethiopia Heirloom', 'Elevation', '2000']"
40,Buena Vista,Verve,"There’s always room for dessert. Wise words—and the taste theory behind this rich, toasty coffee that stands in for a fix of your favorite dark chocolate.",15.5,12.0,340.1942774959533,12.0,"Santa Cruz, CA","A toasted sweetness is joined by a rich, dark chocolate flavor in one of our flagship dark-roast blends.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Brown Sugar and Milk Chocolate,"['Process', 'Washed', 'Sub Region', 'Cauca', 'Producer', 'Various', 'Harvest Time', 'December - April', 'Elevation', '1700']"
41,Organic Radio Wave,Kickapoo,"The bigger the mug, the better. With a sumptuous body, this bittersweet blend boasts rich flavors (a nod to its Latin American roots). More, please.",15.25,12.0,340.1942774959533,12.0,"Viroqua, WI","For anyone who wants a big, round coffee with layers of bittersweet chocolate and a sumptuous body, this is your blend. Always a blend of our favorite coffees from Latin America, this dark roast goes well with cream and can be an exceptional choice for those cafes serving larger coffee drinks, which is to say Radio Wave holds up really well in milk.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Milk Chocolate and Roastiness,"['Process', 'Washed', 'Sub Region', 'Tolima', 'Harvest Time', 'September 2017', 'Varietal', 'Typica, Bourbon, Caturra, Colombia', 'Elevation', '1450']"
42,Onyx Cold Brew,Onyx,"Amazing cold brew at home? We have chills. Friendly to a variety of cold-brew methods, this pleases a crowd with its low-acid, approachable finish.",15.0,12.0,340.1942774959533,12.0,"Fayetteville, AR","Cold brew right at home!? We use this coffee for both our Kyoto towers & our Toddy cold brew concentrate for iced milk beverages. Lower in acidity and high in sugar browning, this coffee reacts well with fats in dairy or tastes smooth and sweet on its own. Designed for cold extraction.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Colombia with hints of Milk Chocolate and Ripe Fruit,"['Process', 'Washed', 'Sub Region', 'Antioquia', 'Varietal', 'Caturra, Typica, Bourbon', 'Elevation', '1600 - 1650']"
43,Conscientious Objector,Highwire,"Hearty, smooth and bold - packing full flavor and chocolate sweetness into a cup with plenty of body and classic earthiness.",16.75,12.0,340.1942774959533,12.0,"Oakland, CA","Blended to offer full flavor and body to your cup. You can expect a classic sweet earthiness up front with a creamy milk chocolate bar finish. Hearty, smooth and bold.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Sweet Vanilla and Milk Chocolate,"['Process', 'Washed', 'Varietal', 'Arabica']"
44,Kenya Gichugene,Novo,"Bright citric acidity and honeyed sweetness are front and center in this balanced, clean cup.",19.0,12.0,340.1942774959533,12.0,"Denver, CO",Balanced orange marmalade acidity with great body and honey sweetness make this coffee a winner. All the acidity of Kenya balanced with all the sweetness you want!,Single Origins,Light-Medium Roast,Citrusy & Tart,"Acid forward with hints of Citrus, Florals and Brown Sugar","['Process', 'Washed', 'Sub Region', 'Meru', 'Producer', 'Katheri Farmer Coop', 'Harvest Time', 'Jan 2018 - March 2018', 'Elevation', '1650']"
