Colombia Jesus Antonio Saavedra,Passenger,"Strawberry sweetness practically jumps out of this incredibly clean, smooth cup, followed closely by delicate notes of black tea.",$23.25,10 oz.,"Lancaster, PA","A very fruited cup, Jesus Antonio Saavedra’s coffee presents flavors of strawberry and papaya over a brisk black tea base. The majority of Passenger’s Colombian coffees come from Southern Huila. That said, we have an incredibly soft spot in our heart for the department of Tolima. Firstly because that was the first department we focused our buying in when we were a brand new company, and secondly because the coffees can be utterly outstanding.",Single Origins,Light Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Tolima', 'Producer', 'Jesus Antonio Saavedra', 'Harvest Time', 'June-August 2017', 'Varietal', 'Caturra', 'Elevation', '1,700 - 1,700']"
"Laurina, Brazil",Passenger,"Red berries, papaya, guava, bubble gum, and rose water present themselves one after another, sip after sip in this cup which is rooted by a milk chocolate base.",$31.00,10 oz.,"Lancaster, PA","Daterra is a farm like no other. Massive in scale yet scrupulous in focus, the farm is driven by its founder and visionary, Luis Pascoal. This lot is 100% Laurina, a variety that developed naturally on Réunion Island (formerly Bourbon Island) and is a dwarf variety with very low caffeine and a very unique cup profile.",Single Origins,Light-Medium Roast,Fruity & Crisp,"Packed with bold notes of Berry Fruit, Tropical Fruit and Milk Chocolate","['Process', 'Natural/Dry Processed', 'Sub Region', 'Cerrado', 'Producer', 'Luis Pascoal', 'Harvest Time', 'August-September 2016', 'Varietal', 'Laurina', 'Elevation', '1100 - 1100']"
Colombia Guillermo Rojas,Passenger,Crisp and clean citrusy acidity meets plum and brown sugar sweetness in this squeaky clean cup.,$23.25,10 oz.,"Lancaster, PA","Citrus and slight florals on the nose lead into a cup with a panela like sweetness, black tea base, and juicy red plum acidity upon cooling. Guillermo Rojas’ farm, La Falda, in Acevedo, Huila placed 9th in the second annual Acevedo Cup. A blend of Colombia and Castillo varieties, this is an incredibly clean coffee, a testament to the excellent cherry selection and processing on La Falda.",Single Origins,Light Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Acevedo', 'Producer', 'Guillermo Rojas', 'Harvest Time', 'October-December 2017', 'Varietal', 'Colombia, Castillo', 'Elevation', '1500 - 1500']"
Ecuador La Yumbada Caturra,Passenger,"Incredibly bright and citrusy acidity is the star of this lovely number, which yields a very clean cup indeed.",$22.75,10 oz.,"Lancaster, PA","For a number of years now we, at Passenger, have been interested in La Yumbada. This past harvest we decided to pull the trigger on purchasing some of the remarkable lots produced on this incredible farm in Pichincha, Ecuador. This may by the most remarkably complex Caturra lot we have ever had the pleasure of tasting.",Single Origins,Light Roast,Citrusy & Tart,"Acid forward with hints of Fresh Herb, Sweet Vanilla and Berry Fruit","['Process', 'Washed', 'Sub Region', 'Pichincha', 'Producer', 'Rommy Idrobo and Christian Marlin', 'Harvest Time', 'August-September, 2017', 'Varietal', 'Caturra', 'Elevation', '1,800 - 1,950']"
Ecuador La Yumbada Sidra,Passenger,"Truly a marvel, this one: lush and full, but spectacularly clean, juicy and tropical and sweet as a kiwi drizzled in honey.",$27.25,10 oz.,"Lancaster, PA","A relatively new variety, this lot was produced from Sidra: a cross between Red Bourbon and Typica. Developed on a Nestle research farm with cup quality in mind, this coffee shines under the stewardship of Rommy Idrobo and Christian Marlin at Finca La Yumbada.",Single Origins,Light Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Pichincha', 'Producer', 'Rommy Idrobo and Christian Marlin', 'Harvest Time', 'August-September, 2017', 'Varietal', 'Sidra', 'Elevation', '1800 - 1950']"
Bistro Blend,Caffe Vita,"At times we all appreciate a bit of nuance, and this approachable, roasty blend is just the thing to keep your cup on edge.",$16.00,12 oz.,"Seattle, WA","A blend of South American, East African and Indonesian coffees with a medium roast profile creating an approachable, balanced and nuanced cup. Grown at altitudes from 1000-2200 meters.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Roastiness and Milk Chocolate,"['Process', 'Washed, Natural/Dry Processed', 'Varietal', 'Bourbon, Typica', 'Elevation', '1000']"
Six One Six Blend,Madcap,"Sometimes all you need is a trustworthy, balanced coffee - and here it is. Chocolatey, full bodied, and earthy, this blend works perfectly with milk but is just as comforting on its own.",$16.00,12 oz.,"Grand Rapids, MI","A consistent, rich cup with loads of chocolate and earthy dried fruit sweetness",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Milk Chocolate and Earthiness,"['Process', 'Washed', 'Sub Region', 'Santa Barbara, Honduras; Tarrazú, Costa Rica', 'Elevation', '1700']"
Colombia Aponte Village,Onyx,"Sometimes it takes a village to make a good cup. Like this one, from the Aponte Village of Colombia, which keeps us coming back for its honey-rich clarity.",$16.50,12 oz.,"Fayetteville, AR","This will be the fourth harvest we’ve purchased from the Aponte Village in Nariño, Colombia and it continually gets better and better. It is a honey processed coffee that is a great example of clarity that can be found in the method. Deep, cherry complexity with a sweetness like honey and fig finish with a baking spice note reminiscent of cinnamon. This is a coffee for the people made by the people.",Single Origins,Light Roast,Fruity & Crisp,"Packed with bold notes of Brown Sugar, Ripe Fruit and Spice","['Process', 'Honey', 'Sub Region', 'Nariño', 'Varietal', 'Caturra & Bourbon', 'Elevation', '2000 - 2100']"
"Nicaragua, Los Magos Del Monte",Sightglass,"Nutty, earthy, and sweet, this one brings gentle cherry acidity to an exquisitely delicate cup.",$21.50,12 oz.,"San Francisco, CA","Last year was the first time we purchased coffee from this small group of producers, located in northern Nicaragua. It’s just as special this time around, harvested at peak ripeness and processed with great care, displaying notes of lilac, praline, and cherry.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Nicaragua with hints of Earthiness and Nut,"['Process', 'Washed', 'Sub Region', 'Nueva Segovia', 'Producer', 'Small group of producers', 'Varietal', 'Catuai, Bourbon, Caturra', 'Elevation', '1400 - 1500']"
Bella Carmona,Joe,"Sweet, smooth, and easy to enjoy. We're detecting subtle chocolaty notes, livened up by a splash of citrusy acidity.",$17.50,12 oz.,"New York, NY","Bella Carmona is made up of peak harvest coffees from several of the estates owned by the Zelaya family. The coffee is grown in rich volcanic soil at the base of Volcan Agua in Antigua, Guatemala. In the cup you'll find notes of agave, citrus, and milk chocolate.",Single Origins,Light-Medium Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Antigua', 'Producer', 'Zelaya Family', 'Varietal', 'Caturra, Bourbon, Tekisic, Dwarf Bourbon, Bourbon 300', 'Elevation', '1500 - 1800']"
Emporium House Blend,Cuvee,"Coffee should bring people together. This blend manages to unite three distinctly delicious single origins to create a truly harmonious coffee. Complex but approachable, no matter how you brew it. (Formerly known as Spicewood 71.)",$14.00,12 oz.,"Austin, TX","An Emporium is a market place or trading center, which in a way describes who we are. We bring the best coffee from all over the world to our roastery in Austin, TX. We blend together several of our single origin selections to create this coffee that is complex and approachable, just the way a great blend should be and reason enough to make it our house favorite.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Citrus and Milk Chocolate,"['Process', 'Washed, Pulped Natural', 'Varietal', 'Bourbon, Pacas, Caturra, Pache & Catuai']"
Bear Hug Espresso,Dogwood,"Arms are for hugging—and if coffee had them, this one would. Its warm, welcoming, roasted notes with a syrupy sweet finish grab hold and won’t let go.",$16.00,12 oz.,"Minneapolis, MN","Bear Hug Espresso wants to wrap its burly arms around your palate and hold on for a big, long squeeze. Our plump bear is a sweet beast who spends most days sauntering through the woodland’s berry buffet line. This espresso blend is our way of approaching the other end of the flavor spectrum, while staying in line with our roasting philosophy. Bear Hug is syrupy and hits low noted flavors like chocolate cake, brown sugar and baked berries.",Blends,Medium-Dark Roast,Syrupy & Smooth,none,"['Process', 'Washed, Pulped Natural', 'Sub Region', 'Tarrazu, Cajamarca, Valle de Grama', 'Producer', 'Luis Ureña (CR), Valentin Guerrero Zurita (P), Carvalho Family (B)', 'Harvest Time', 'dec-apr (CR), may-aug (P), apr-sept (B)', 'Varietal', 'Catuai, Bourbon, Typica, Caturra, Yellow Bourbon', 'Elevation', '1800 (CR), 1350 (P), 950 (B)']"
Ultraviolet,Kickapoo,Rules are meant to be broken. That’s what this unique blend—with its fruity flavors from Kenyan soil—is all about. Dare you to drink it past 3 p.m.,$16.75,12 oz.,"Viroqua, WI","This year’s Spring Blend is made up of three coffees from three distinct growing regions in Ethiopia. Each offers crisp citrus and floral notes that compliment the season. Oromia boasts sweet, dense flavors, while Haru’s coffee yields floral-forward flavors that are both delicate and dramatic. The Fero coffee shines due to its particular locale, which is vaulted high in the mountains.",Blends,Light-Medium Roast,Crisp & Bright,"A unique blend with hints of Citrus, Ripe Fruit and Florals","['Process', 'Washed', 'Sub Region', 'Kibugu village, Embu County', 'Harvest Time', 'October - December', 'Varietal', 'SL-28, Ruiru', 'Elevation', '1650']"
