,name,blend_single,classification,price,weight,weight in g,weight in oz,flavornotes,descriptor,roaster,location,roastlevel,roasternotes,process,sub region,harvest time,elevation,producer,varietal
10,Gesha Village 2017 Dry Process,Single Origins,Fruity & Crisp,25.0,10.0,283.4952312466278,10.0,"Packed with bold notes of Tropical Fruit, Berry Fruit and Brown Sugar","With great clarity, this coffee delivers a tropical fruit forward profile with delicious complexity. Frozen prior to roasting to retain freshness, Gesha Village is one of a kind.",Passenger,"Lancaster, PA",Light Roast,"Striking in its clarity of flavor, this Dry Processed lot is dominated by tropical fruit flavors. Incredibly clean, the primary flavors found in this lot are from the variety and the place it was grown, not the processing method. That said, there is a distinct fruited character related to the Dry Process method. This is naturally processed coffee at its finest.",Process Natural/Dry Processed,Sub Region Gesha ,Harvest Time November-January 2016-2017 ,Elevation 1900 - 2100,Producer Adam Overton and Rachel Samuel ,Varietal Heirloom Gesha 
11,Hair Bender,Blends,Balanced & Fruity,15.0,12.0,340.1942774959533,12.0,"Hints of Citrus, Milk Chocolate and Brown Sugar","The one that started it all and still the most popular for Stumptown. Sweet, complex, & balanced, this dynamic coffee is great no matter how your brew it.",Stumptown,"Portland, OR",Light-Medium Roast,"The coffee that started it all. Hair Bender is our most popular coffee with good reason – it’s sweet, complex, and balanced. We still serve this dynamic coffee in all of our cafes as espresso, but it’s a day-maker however you brew it.",Process Washed,,,,,
12,Southern Weather,Blends,Balanced & Fruity,15.0,12.0,340.1942774959533,12.0,"Hints of Milk Chocolate, Ripe Fruit and Nut","No fuss, just flavor—shiny, bright and balanced with a little nuttiness (a nod to Onyx’s southern roots). Seasonal updates make a great cup in any weather.",Onyx,"Fayetteville, AR",Medium Roast,"For us, Southern Weather (formerly Sugar Skull) embodies the wonderful relationships between a citric acidity balance and wonderful, full-bodied chocolates. We serve this every day and find it comfortable, yet surprisingly complex and sophisticated. We brew this with all devices all day long, even as espresso.",Process Washed,,,Elevation 1800,,Varietal Pacamara Colombia
13,Nicaragua Finca La Amistad,Single Origins,Chocolaty & Sweet,14.0,12.0,340.1942774959533,12.0,A classic expression of Nicaragua with hints of Brown Sugar and Ripe Fruit,"Before the day gets messy, keep it clean with a coffee that fills your cup with straightforward taste. Perfectly simple and sweet.",Panther,"Miami, FL",Medium Roast,"Caramel sweetness notes of peach, apricot and dried cherries. Mild with a clean finish.",Process Washed,Sub Region Jinotega,,Elevation 1200 - 1250,Producer Francisco Javier Valle Garcia,Varietal Catuai Caturra
14,Colombia El Jigual,Single Origins,Sweet & Tart,15.5,12.0,340.1942774959533,12.0,none,"Round, clean and fruity, with notes of blackberry and hibiscus - this is what a great farm-roaster partnership tastes like.",Irving Farm,"New York, NY",Light-Medium Roast,"With a stunning roundness and deeply flavorful fruity finish, El Jigual is an incredible example of a coffee from Huila, Colombia. We have been buying Dario Anaya’s coffee since 2011.",Process Washed,Sub Region Huila,,Elevation 1400 - 1700,Producer Dario Anaya,Varietal Colombia F6
15,Ethiopia Bensa Shantawene Natural,Single Origins,Fruity & Crisp,21.0,12.0,340.1942774959533,12.0,"Packed with bold notes of Berry Fruit, Sweet Vanilla and Florals","Not a coffee for the timid: this natural is out of control juicy, with ripe red strawberries up front in a lush, creamy body. Tropical fruit acidity rounds out the cup flawlessly.",Onyx,"Fayetteville, AR",Light-Medium Roast,"Deep in the Sidama region of Ethiopia lies the small farming town of Daye. Shantawene is the small wet mill in the village that has created this incredible coffee. It differs from its washed counterpart in one significant way. Where delicate florals dominate the washed cup, this natural powers through with red fruit depth. Tropical notes arrive on the finish, and a heavier, sweet cream mouthfeel leaves you wanting more. It is also Certified Organic.",Process Natural/Dry Processed,Sub Region Sidama,Harvest Time November through February,Elevation 2000 - 2300,,Varietal Mikicho Setami Heirloom
16,Costa Rica Perla Negra Natural,Single Origins,Funky & Fruity,23.0,12.0,340.1942774959533,12.0,none,Fuego alert! This natural process banger is big on flavor: blackberry juiciness and spicy rum notes are very much in play here. Try to have a bad day after a cup of this coffee - we dare you.,Dune,"Santa Barbara, CA",Light-Medium Roast,"Oscar and Francisca Chacon of Las Lajas Micromill are third-generation coffee producers who are committed to quality and innovation. Las Lajas is one of very few certified organic mills in the area as the Chacons take their environmental impact very seriously. To conserve water, the Chacons use a penagos demucilaginator to depulp their coffee, and since all of their coffees are either honeys or naturals, very little water is used at the mill.",Process Natural/Dry Processed,Sub Region Sabanilla de Alajuela Central Valley,,Elevation 1450,Producer Oscar and Francisca Chacon,Varietal Various
17,Gotham,Blends,Roasty & Smoky,15.0,12.0,340.1942774959533,12.0,"Classic, nostalgic, comforting flavors","Extra dark, rich, and full of chocolatey indulgence. It may not be the coffee we deserve, but it's definitely the coffee we need right now.",Irving Farm,"New York, NY",Dark Roast,This blend is a modern take on a classic french roast. The coffee carries a deep smoky edge balanced with sweetness from perfectly timing the caramelization of the coffee bean’s sugars in the roasting process.,Process Washed,Sub Region Ahuachapán,,Elevation 1350,Producer The Salaverria family,Varietal Bourbon Catuai
18,Black Cat Classic Espresso,Blends,Syrupy & Smooth,15.0,12.0,340.1942774959533,12.0,none,This classic espresso has been part of Intelligentsia's lineup since the very begining. Intensive lot selection means supreme balance & syrupy sweetness.,Intelligentsia,"Chicago, IL",Medium Roast,"This syrupy and sweet espresso blend has been the staple of our lineup since the very beginning. It is a product of intensive lot selection and close, direct work with the farmers who produce its components. Supreme balance and a wonderful sweetness make this a classic.",Process Washed,,,,,
19,French Roast,Blends,Roasty & Smoky,14.5,12.0,340.1942774959533,12.0,"Classic, nostalgic, comforting flavors",Bitter or sweet? No need to decide—this one’s both: the bitter of French roasting and the sweetness of coffee that can handle that kind of heat.,Klatch,"Rancho Cucamonga, CA",Dark Roast,"French Roast is our darkest roast! Features a blend of selective Central and South America, strictly hard bean coffees specially selected to handle the dark roast without losing their flavor. We find a surprising amount of sweetness, balanced with the pleasant bitterness that French Roasts are known for. Creamy and even, deep and breathy, this coffee is complex yet comforting. Brews a rich full cup.",Process Washed,,,,,Varietal Various
20,French Roast,Blends,Roasty & Smoky,14.5,12.0,340.1942774959533,12.0,"Classic, nostalgic, comforting flavors",Bitter or sweet? No need to decide—this one’s both: the bitter of French roasting and the sweetness of coffee that can handle that kind of heat.,Klatch,"Rancho Cucamonga, CA",Dark Roast,"French Roast is our darkest roast! Features a blend of selective Central and South America, strictly hard bean coffees specially selected to handle the dark roast without losing their flavor. We find a surprising amount of sweetness, balanced with the pleasant bitterness that French Roasts are known for. Creamy and even, deep and breathy, this coffee is complex yet comforting. Brews a rich full cup.",Process Wet-hulled,Sub Region Sumatra Java,,Elevation 1200 - 1500,,Varietal Catimor Bourbon Typica Caturra
21,French Roast,Single Origins,Funky & Fruity,15.0,12.0,340.1942774959533,12.0,none,"Bold, earthy and spicy - an absolutely classic profile. With its deep chocolaty notes, this one's a great match for milk.",Atomic,"Salem, MA",Medium-Dark Roast,A classic roast profile. We take Indonesian coffee and roast it dark to accentuate the spice and herbal notes typically associated with this origin and to bring out the earthy and chocolate notes.,Process Washed,,,,,Varietal Various
22,French Roast,Single Origins,Funky & Fruity,15.0,12.0,340.1942774959533,12.0,none,"Bold, earthy and spicy - an absolutely classic profile. With its deep chocolaty notes, this one's a great match for milk.",Atomic,"Salem, MA",Medium-Dark Roast,A classic roast profile. We take Indonesian coffee and roast it dark to accentuate the spice and herbal notes typically associated with this origin and to bring out the earthy and chocolate notes.,Process Wet-hulled,Sub Region Sumatra Java,,Elevation 1200 - 1500,,Varietal Catimor Bourbon Typica Caturra
23,Brasil,Single Origins,Funky & Fruity,15.0,12.0,340.1942774959533,12.0,none,"Here’s a coffee that’s whatever you want it to be. Make it as espresso, brew it as drip, add milk (or not) to its mild acidity and sweetness. Just make it.",DOMA,"Post Falls, ID",Medium Roast,"You'll find candied lemon and vanilla aromas, cashew and cherry flavors, molasses and rye aftertastes, a mild acidity and a balanced sweetness. We’ve brewed this coffee as an espresso, drip and with several other manual brewing devices only to find that our taste buds were happy from start to finish each time; we’re sure that your taste buds will thank you as well.",Process Pulped Natural,Sub Region Carmo de Minas,,,,Varietal Yellow bourbon
24,Le Corbusier French Roast,Blends,Roasty & Smoky,14.0,12.0,340.1942774959533,12.0,"Classic, nostalgic, comforting flavors","A robust body and bold sweetness are the steel beams of this cup architected just for fans of bold, dark roast coffees.",Metric,"Chicago, IL",Dark Roast,"Swiss-born French architect Charles Edouard Jeanneret-Gris was an inspiration for this blend. Our French Roast incorporates seasonal Latin American coffees to create a robust body and big, caramelized sweetness for fans of bolder or darker roast coffees. This more developed profile aims not to overwhelm the palate with extremely smoky roast flavors, but to please folks who seek a rich, deep and aromatic cup.",Process Natural/Dry Processed,,,,,
25,Flying Monkey Espresso,Blends,Syrupy & Smooth,16.0,12.0,340.1942774959533,12.0,none,"Instant mood booster. This coffee is balanced, yet fun. Think a blend of sweet flavors with just enough depth. Add milk, because, why not?",PT's,"Topeka, KS",Medium Roast,"Extremely balanced, yet playful. Featuring notes of smooth chocolate, honey and graham cracker, this blend creates a beautiful harmony of flavors while still having enough depth to show off in long milk drinks.",Process Washed Natural/Dry Processed Pulped Natural,,,,,Varietal Various
26,Virgil's,Blends,Roasty & Smoky,14.65,12.0,340.1942774959533,12.0,"Classic, nostalgic, comforting flavors",Bold and dark to help you shine your brightest. Notes of caramel and chocolate and aromas of fruit and cedar bring this smooth cup to life.,DOMA,"Post Falls, ID",Dark Roast,"Aromas of cedar and fruit, flavors of dark chocolate, caramel aftertastes, a muted acidity, a bold body and a light sweetness.",Process Washed,,,,,Varietal Bourbon
27,Ethiopia Sidama Ardi,Single Origins,Fruity & Crisp,18.5,12.0,340.1942774959533,12.0,"Packed with bold notes of Berry Fruit, Citrus and Florals","Smooth, fruity and sweet, with notes of vanilla, lavender and meyer lemon. This naturally processed coffee may change your whole perception of what coffee can be.",Equator,"San Rafael, CA",Light Roast,"Grown in Southern Ethiopia’s Guji Zone, an area where coffee farming is the main source of income for the people who live in the area. Equator has been buying this clean and fruity coffee every year since 2013. The inspiration behind this coffee’s name comes from the discovery of Ardipithecus Ramidus, the oldest hominid ever found. The fossil is 4.4 million years old and was unearthed in Ethiopia’s Great Rift Valley, which is where this coffee is grown.",Process Natural/Dry Processed,Sub Region Guji Borena Hagermariam District,,Elevation 1750 - 1800,Producer Nardos Coffee,Varietal Heirloom
28,Eclipse,Blends,Comforting & Rich,16.0,12.0,340.1942774959533,12.0,Nostalgic with hints of Milk Chocolate and Brown Sugar,"Dark and sultry, subtly smoky, this coffee absolutely smolders with rich, chocolaty depth and vanilla sweetness. Perfect sipped solo, but works beautifully with your milk of choice.",Onyx,"Fayetteville, AR",Medium-Dark Roast,"Eclipse is a blend we make for our customers that like Onyx but don't always want a bright, fruity coffee. Fortunately, we put as much care into our dark roasted blends as we do our other coffees. This is made up of Guatemalan and Ethiopian coffees and roasted darker than any of our other coffees. Great with milk, you will taste a deep, rich dark chocolate, caramelized sugar, and a pleasant smokey vanilla finish.",Process Washed,,,,,Varietal Caturra and Heirloom
29,El Socorro Maracaturra,Single Origins,Chocolaty & Sweet,22.5,12.0,340.1942774959533,12.0,A classic expression of Guatemala with hints of Milk Chocolate and Citrus,"Toasty, chocolaty, and easy to love - here's a great coffee to impress your in-laws. Super approachable, with notes of milk chocolate and soft pear acidity.",PT's,"Topeka, KS",Medium Roast,"This lively coffee greets you with aromas of navel orange and raspberry jam as it brews, with a sweet background note of milk chocolate. It's a juicy cup, with notes of red grape and mandarin marmalade balanced by cranberry-like acidity. An almost nutty undertone of cocoa powder emerges in the long finish.",Process Washed,Sub Region Guatemala Department,,Elevation 1750 - 1750,Producer Juan Diego de la Cerda,Varietal Maracaturra
30,Tarrazu,Single Origins,Chocolaty & Sweet,14.0,12.0,340.1942774959533,12.0,A classic expression of Costa Rica with hints of Milk Chocolate and Nut,"Enjoy this classic cup of coffee from a master among roasters. Smooth, chocolatey, classic.",George Howell,"Boston, MA",Medium Roast,"Tarrazu is a land of small farmers in a tumultuous landscape of lush green peaks, some rising over 10,000 feet, and valleys. The climate has well defined seasons: the long dry season, from December to April, coincides perfectly with the coffee harvest, leading to very even, full ripening - ideal for preparing quality coffee.",Process Washed,Sub Region Tarrazu,Harvest Time January 2018,Elevation 1190 - 1890,,Varietal Caturra Catuai
31,Buffalo Blend,Blends,Sweet & Smooth,12.0,8.0,226.79618499730225,8.0,A traditional base with hints of Brown Sugar and Sweet Vanilla,"We don’t save this one for the fancy china cups—we break it out and enjoy it, day after day, for its approachably sweet and toasted drinkability.",Airship,"Bentonville, AR",Medium Roast,"This is the everyday drinkin' coffee. We named it after one of our favorite places on Earth, the Buffalo River. This blend is sweet, mild and roasted to be enjoyed everyday. Enjoy the ride.",Process Washed Natural/Dry Processed,Sub Region Acatenango,,,,Varietal Bourbon
32,Theo Blend,Blends,Sweet & Smooth,17.0,12.0,340.1942774959533,12.0,A traditional base with hints of Milk Chocolate and Spice,Chocolate lovers know Theo Chocolate—and will love this smooth and frothy blend paired with their favorite bite.,Caffe Vita,"Seattle, WA",Medium Roast,Caffe Vita and famed chocolatier Theo Chocolate spent months working together to develop this lush blend—which pairs beautifully with chocolate but also has the charm of a superb daily cup.,Process Washed,,, Elevation 1500,,Varietal Bourbon Typica
33,Ethiopia Bokasso,Single Origins,Sweet & Tart,16.0,300.0,300.0,10.582188585,none,"Delicate but lingering, this washed Ethiopian beauty delivers citrusy floral sweetness that lasts well past the last sip.",Boxcar,"Boulder, CO",Light-Medium Roast,The Bokasso washing station is located in the Sidama region of south-central Ethiopia. Many small family farms contribute to this station all growing a mix of heirloom varietals at elevations of up to 2100 meters. After the ripe cherries are pulped they are fermented for 48 hours then fully washed and laid out to dry on traditional raised beds. The resulting coffee is very sweet and loaded with tons of complex florals.,Process Washed,Sub Region Sidama,Harvest Time Dec-March 2017-2018,Elevation 1900 - 2000,,Varietal Heirloom
34,Ethiopia Bokasso,Single Origins,Sweet & Tart,16.0,300.0,300.0,10.582188585,none,"Delicate but lingering, this washed Ethiopian beauty delivers citrusy floral sweetness that lasts well past the last sip.",Boxcar,"Boulder, CO",Light-Medium Roast,The Bokasso washing station is located in the Sidama region of south-central Ethiopia. Many small family farms contribute to this station all growing a mix of heirloom varietals at elevations of up to 2100 meters. After the ripe cherries are pulped they are fermented for 48 hours then fully washed and laid out to dry on traditional raised beds. The resulting coffee is very sweet and loaded with tons of complex florals.,Process Washed,Sub Region Yirgalem District Sidama,Harvest Time September-December Varietal Ethiopia Heirloom Elevation 1900 - 2100,Elevation 1900 - 2100,Producer Bokasso Co-Operative ,Varietal Ethiopia Heirloom Elevation 1900 - 2100
35,Ethiopia Bokasso,Single Origins,Sweet & Tart,16.0,300.0,300.0,10.582188585,none,"Delicate but lingering, this washed Ethiopian beauty delivers citrusy floral sweetness that lasts well past the last sip.",Boxcar,"Boulder, CO",Light-Medium Roast,The Bokasso washing station is located in the Sidama region of south-central Ethiopia. Many small family farms contribute to this station all growing a mix of heirloom varietals at elevations of up to 2100 meters. After the ripe cherries are pulped they are fermented for 48 hours then fully washed and laid out to dry on traditional raised beds. The resulting coffee is very sweet and loaded with tons of complex florals.,Process Washed,Sub Region Yirgalem District Sidama,Harvest Time September-December,Elevation 1900 - 2100,Producer Bokasso Co-Operative ,Varietal Ethiopia Heirloom Elevation 1900 - 2100
36,Ethiopia Bokasso,Single Origins,Subtle & Delicate,20.75,12.0,340.1942774959533,12.0,"Complex with notes of Brown Sugar, Florals and Citrus",Bold citrusy acidity doesn't overpower the beautiful notes of jasmine in this clean cup - we think it's an exquisite balance.,Verve,"Santa Cruz, CA",Light-Medium Roast,"Vibrant in nature, Bokasso pairs beautiful jasmine notes with a vibrant, citric-acidity in this complex offering from Sidama.",Process Washed,Sub Region Sidama,Harvest Time Dec-March 2017-2018,Elevation 1900 - 2000,,Varietal Heirloom
37,Ethiopia Bokasso,Single Origins,Subtle & Delicate,20.75,12.0,340.1942774959533,12.0,"Complex with notes of Brown Sugar, Florals and Citrus",Bold citrusy acidity doesn't overpower the beautiful notes of jasmine in this clean cup - we think it's an exquisite balance.,Verve,"Santa Cruz, CA",Light-Medium Roast,"Vibrant in nature, Bokasso pairs beautiful jasmine notes with a vibrant, citric-acidity in this complex offering from Sidama.",Process Washed,Sub Region Yirgalem District Sidama,Harvest Time September-December Varietal Ethiopia Heirloom Elevation 1900 - 2100,Elevation 1900 - 2100,Producer Bokasso Co-Operative ,Varietal Ethiopia Heirloom Elevation 1900 - 2100
38,Ethiopia Bokasso,Single Origins,Subtle & Delicate,20.75,12.0,340.1942774959533,12.0,"Complex with notes of Brown Sugar, Florals and Citrus",Bold citrusy acidity doesn't overpower the beautiful notes of jasmine in this clean cup - we think it's an exquisite balance.,Verve,"Santa Cruz, CA",Light-Medium Roast,"Vibrant in nature, Bokasso pairs beautiful jasmine notes with a vibrant, citric-acidity in this complex offering from Sidama.",Process Washed,Sub Region Yirgalem District Sidama,Harvest Time September-December,Elevation 1900 - 2100,Producer Bokasso Co-Operative ,Varietal Ethiopia Heirloom Elevation 1900 - 2100
42,Oktoberfest,Blends,Balanced & Fruity,18.0,12.0,340.1942774959533,12.0,"Hints of Citrus, Milk Chocolate and Spice","Crisp as the falling leaves, clean as the autumn air. We're waxing poetic over this seasonal beauty, with its citrusy acidity and its warming spice notes.",Madcap,"Grand Rapids, MI",Light-Medium Roast,"Paying tribute to the famous Oktoberfestbier, this coffee is crisp, clean, and balanced. Citrus and spice emerge from a chocolate malt structure.",Process Washed,,,Elevation 1750,,
43,Darkness,Blends,Roasty & Smoky,14.0,12.0,340.1942774959533,12.0,"Classic, nostalgic, comforting flavors",Dark? Maybe. Moody too. But its toasted heaviness mellows out a bit with a silkiness that keeps it from going too...dark.,Gimme!,"Ithaca, NY",Dark Roast,"As darkness falls across the land, grab a cup of coffee that matches your mood. With toasted sugars and brownie sweetness, our darkest blend is roasted through second crack, resulting in a silky, heavy mouthfeel that balances the bitter cocoa finish.",Process Washed,,,,,Varietal Bourbon
44,Kenya Gaturiri,Single Origins,Subtle & Delicate,17.0,8.0,226.79618499730225,8.0,"Complex with notes of Ripe Fruit, Citrus and Brown Sugar",This single-origin is all business. Fruity flavors are processed from a factory of top-notch coffee farmers. Meeting adjourned.,Parlor,"Brooklyn, NY",Light-Medium Roast,"Plum, citrus and caramelized sugar drive the unique flavor we love from Gaturiri. Coffee has been cultivated in the Nyeri district since 1958. Today, as many as 1,200 farmers, equally comprised of women and men, contribute their ripe coffee cherry to Gaturiri Factory for processing.",Process Washed,Sub Region Central Kenya Nyeri Producer Barichu Cooperative Society,Harvest Time November - February ,Elevation 1750 - 1750,,Varietal SL-28 SL-24
45,Bauhaus,Blends,Comforting & Rich,16.75,12.0,340.1942774959533,12.0,Nostalgic with hints of Brown Sugar and Milk Chocolate,"Highwire's darkest offering offers a sweet, mellow full bodied cup, without the smokiness, that only the most skillful roasting can achieve.",Highwire,"Oakland, CA",Medium-Dark Roast,"This remains a favorite among fans of sweet, mellow full bodied cups that only a skillful roast can provide. Bauhaus is taken deep enough to bring you the bittersweet chocolate cookie flavors of a full roast without the smokiness. Although it's not pushed over the edge, you will definitely recognize this as our darkest one.",Process Washed,,,,,Varietal Arabica
46,"Party, Ethiopia",Single Origins,Fruity & Crisp,19.0,12.0,340.1942774959533,12.0,"Packed with bold notes of Berry Fruit, Florals and Citrus","Looking for excitement in your morning? Aptly named, this naturally processed coffee brings the funk. Punchy blackberry, splashy-sweet citrus acidity, and a subtle earthiness make it nearly impossible to have a bad day.",Madcap,"Grand Rapids, MI",Light-Medium Roast,"This coffee is not shy. Expect a big punch of blackberries, flowers, and orange anchored down by maple syrup sweetness.",Process Natural/Dry Processed,Sub Region Kore Kochere,Harvest Time December 2017 - January 2018,Elevation 1800 - 1900,Producer Boji Washing Station,Varietal Heirloom
47,Zip Zinger,Blends,Syrupy & Smooth,16.0,12.0,340.1942774959533,12.0,none,"Like its name suggests, this versatile blend likes to mix it up. As espresso or as brewed coffee, its well-balanced flavors work well solo or with milk.",Dune,"Santa Barbara, CA",Medium Roast,"Zip Zinger is our flagship blend. We built this coffee to be enjoyed as espresso and brewed coffee, a versatile and exciting blend of coffees from Colombia, Ethiopia and Brazil. These three origins bring really beautiful flavors of stone fruit, caramel and chocolate that are super tasty on their own, and shine in milk. We named this coffee for the iconic skateboard designed by Mark Gonzales; he inspires us to be creative and have fun every single day.",Process Washed Natural/Dry Processed,,,,,Varietal Various
48,Ethiopia Ardi,Single Origins,Funky & Fruity,21.0,12.0,340.1942774959533,12.0,none,"Thick and sticky-sweet, like strawberry jam: this is a whole bunch of in-your-face berry deliciousness, with smooth chocolaty notes to mellow out the cup.",Huckleberry,"Denver, CO",Light-Medium Roast,"Ardi is our favorite natural Ethiopia, year after year. Our lot for 2018 is one of our best yet, with the berry, tropical and chocolate flavors we've come to love, plus lovely florals. It's a fruit bomb, and it's the bomb.",Process Natural/Dry Processed,Sub Region Kilenso Mokonisa Sidama,,Elevation 1800 - 2100,Producer Various Smallholders Israel Degefa Wet Mill,Varietal Ethiopian Heirloom
49,Costa Rica,Single Origins,Chocolaty & Sweet,14.0,12.0,340.1942774959533,12.0,A classic expression of Costa Rica with hints of Tropical Fruit and Sweet Vanilla,"For those who like a reliably easy-drinking morning cup with a little tropical twist, may we suggest this Costa Rican marvel? Brown sugary sweet with splashy citric acidity help start a day full of positive vibes.",Cuvee,"Austin, TX",Light-Medium Roast,"Being sandwiched between the Caribbean and the Pacific, it’s no wonder the translation of Costa Rica means “Rich Coast”. Costa Rican coffees often share a full body, bright acidity, fragrant brown sugar aroma and can have notes of tropical fruit or citrus.",Process Washed,Sub Region West Valley,,Elevation 1400 - 1600,,Varietal Caturra
